Time Posted,Image URL,Instagram Post,Caption,Media Type,Reach,Plays,Total Interactions,Likes,Comments,Saves,Shares,Hashtags
08-28-2021 02:49:01,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/240722753_562219105089904_3316090125710959104_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=oTBEW19uRNoAX_Hx9gg&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-ihh_pLxn-LuAdjJSfnmWXh0nw7JLXndKvvvguz21IMw&oe=6301470A,https://www.instagram.com/reel/CTGhUcgnqz9/,"I don't like that word 😬
-
@totalnerd_ @totalnerdcomics @watchworthy @ranker
-
#marvelmemes #mcumemes #mcu #mcuquotes #underratedmcuquotes #marvelquotes",VIDEO,288241,275932,16273,11790,37,3680,766,
08-25-2021 21:45:24,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/240496134_383628016486353_6648293862377107544_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=HBhN_e2kIVIAX9-JJUE&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT81Gun7dNszSFYhGZffekcR_alqEu978oeEI1S-36rRhA&oe=6300CADF,https://www.instagram.com/reel/CTA1ANrDeBm/,"Name a more famous clarinet player
-
@totalnerd_ @totalnerdcomics @watchworthy @ranker
-
#spongebobsquarepants #spongebobmemes #bikinibottomtwitter #squidward #patrickmemes #squidwardmemes #spongebob",VIDEO,87825,85989,4135,3306,21,451,357,
08-04-2021 18:17:29,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/230347437_1234142890434761_6707639865525292027_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TRjA6aIxyKsAX8xI7Pb&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_FDmP6bV9zlhiHL06ygAymf83ZcexGEy7vkt5XRt_YOA&oe=63016137,https://www.instagram.com/reel/CSKYb_cJbnO/,"I'll take those odds
-
@totalnerd_ @totalnerdcomics @watchworthy @ranker
-
#avengers #marvelmemes #avengersmemes #mcumemes #marvel #doctorstrange #doctorstrangememes #thanosmemes",VIDEO,179499,169310,6587,5697,44,572,274,
08-02-2021 19:35:29,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/229164026_314801753753351_6137285178829637142_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JwNLaO611C0AX-407n3&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9gMJoVlmfqj3ujptBtbTT8lM6expqif5f6o47BJl7sSA&oe=6301970F,https://www.instagram.com/reel/CSFX1SBpn2m/,"Lines that hit harder than Avada Kedavra 🪄
-
@totalnerd_ @totalnerdcomics 
-
#harrypotter #harrypotterlines #harrypottermemes #pottermore #ronquotes #harrypotterquotes
#pottermore #hogwartsmemes #hogwartsquotes",VIDEO,39891,38298,858,628,6,165,59,
03-16-2021 22:13:11,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/160376687_948409999232214_186802800314497651_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JBljZtuzYgYAX_OBgyw&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_aY6yl-ApcnSDLFGBtczdFAWg6JebeUI3cbzfxjmpjiQ&oe=6301CCCD,https://www.instagram.com/tv/CMfvZKvF5YH/,Will the new season of 'The Masked Singer' live up to the hype?,VIDEO,10461,n/a,n/a,41,1,3,n/a,
03-11-2021 20:41:18,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/159663643_785529405729777_7343414288713268885_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=v0LX-6PacXQAX_wsnGs&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_PKCAomydf8NlERSNtCSZCPdl8_-px-muDJBRklWXBdA&oe=63005A66,https://www.instagram.com/tv/CMSs6kBDCpl/,Will the new season of 'Good Girls' live up to the hype? #netflix #goodgirls,VIDEO,12980,n/a,n/a,50,0,5,n/a,
03-06-2021 01:27:16,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/157446379_1200562240358234_466892617123881927_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nEWaPIMtpoEAX84gaOH&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_q-h-ObmvnNu0jpwZ53h2sAjpoAiHYLXiKrrBynTtw0g&oe=63010709,https://www.instagram.com/tv/CMDwoKmDK1Q/,Will the next season of 'The Flash' live up to the hype?,VIDEO,18799,n/a,n/a,99,0,14,n/a,
02-19-2021 21:22:34,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/151330789_264200555116392_8674197261602832008_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=k8FeE-OTQFkAX8DzUX9&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9P4Rux2OHmzWc9v3esL9EJRSdqLKyuEajKwzM8W6nfdA&oe=63002AB4,https://www.instagram.com/tv/CLfRwJIDgAu/,Will the new season of 'The Real Housewives of New Jersey' live up to the hype?,VIDEO,10924,n/a,n/a,35,0,2,n/a,
02-17-2021 19:22:09,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/151724093_128490015752452_3118338392460748130_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Yd9LCDsXjsUAX9qvR7-&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_f6_A_pYphqs4VHLBTbVulmcwdxHyZMRnQ5NnqUQSR6Q&oe=63002705,https://www.instagram.com/tv/CLZ53HLDwVB/,Will the new season of 'Last Week Tonight with John Oliver' live up to the hype?,VIDEO,16577,n/a,n/a,106,0,15,n/a,
12-09-2020 01:27:10,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/130086891_217262849972465_4519018962789045757_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7Y6ZOBRIYF4AX8Pdpd2&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8Ff9ALbuklut3FmhfYegT-ixoUXMikKZYPyzcRkJr_9A&oe=63016233,https://www.instagram.com/tv/CIjvto9AJoe/,Does the new season of 'Big Mouth' live up to the hype? #netflix #bigmouth #ranker #watchworthy,VIDEO,20348,n/a,n/a,200,3,31,n/a,
